Mental Model,Category,Subcategory,Type,Key Application,Description,Sources,Is Duplicate,Wikipedia URL
Emergence,Systems and Mathematics,Systems,System Concept,,New properties and patterns arise from interactions of simpler elements,Complexity Science; Great Mental Models Vol 3; Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Emergence
Emotion Default,Decision Making,Defaults,Decision Trap,,,Clear Thinking; Shane Parrish,No,
Endowment Effect,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Endowment_effect
Energy Minimization,Natural Sciences,Biology,Natural System,,,Great Mental Models Vol 2; Shane Parrish,No,https://en.wikipedia.org/wiki/Energy_minimization
Engineering Humans,Biotechnology,Human Enhancement,Futuristic Framework,,,Homo Deus; Yuval Noah Harari,No,
Entropy,Key Concepts,System & Natural Dynamics,System Concept,,,80 Useful Mental Models; 80 Useful Mental Models Blog; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann); hptbydts.com,No,https://en.wikipedia.org/wiki/Entropy
Environment Design,Habit Formation,Behavior Design,Habit Model,,,Atomic Habits; James Clear,No,https://en.wikipedia.org/wiki/Environmental_design
Equal Status Interactions,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict,No,
Equilibrium,Systems and Mathematics,Systems,System Concept,,Stable state where internal and external forces are balanced,Economics; Great Mental Models Vol 3; Physics; Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Equilibrium
Equivalence,Systems and Mathematics,Mathematics,Mathematical Principle,,Different expressions same value,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Equivalence
"Ethos, Pathos, and Logos",Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,"https://en.wikipedia.org/wiki/Ethos,_pathos_and_logos"
Evolution as Driver,Systems,Macro Dynamics,Systems Model,,,Principles; Ray Dalio,No,
Evolution as Macro Driving Force,Business & Life,Systems,Systems Model,,,Principles; Ray Dalio,No,
Evolution & Natural Selection,Biology & Adaptation,,Biological Principle,,Species and ideas survive by adapting to environment; fitness is relative,Biology; Shane Parrish (TGMM Vol 2); Shane Parrish Vol 2; Yuval Harari; Yuval Noah Harari (Sapiens),No,https://en.wikipedia.org/wiki/Evolution_by_natural_selection
Evolution Part 1,Natural Sciences,Biology,Natural System,,,Great Mental Models Vol 2; Shane Parrish,No,https://en.wikipedia.org/wiki/Evolution_of_the_Portuguese_Empire
Evolution Part 1: Natural Selection and Extinction,"Physics, Chemistry, Biology",Biology,Natural System,,,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,
Evolution Part 2: Adaptation Rate and the Red Queen Effect,"Physics, Chemistry, Biology",Biology,Natural System,,,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,
Evolution Part 2: Red Queen Effect,Natural Sciences,Biology,Natural System,,,Great Mental Models Vol 2; Shane Parrish,No,
Exhausted Majority,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict,No,
Existential Risks,Challenges,Global Risks,Risk Framework,,,21 Lessons for 21st Century; Yuval Noah Harari,No,https://en.wikipedia.org/wiki/Existential_risks_from_artificial_general_intelligence
Expectations Investing,Investment,Valuation,Investment Model,,,Expectations Investing; Expectations Investing / Skill & Luck; Michael Mauboussin,No,
Expectations Investing Framework,Investment,Valuation,Investment Model,,,Expectations Investing; Michael Mauboussin,No,
Expected Value (EV),Decision Theory,,Mathematical Framework,,Calculated average outcome of decision accounting for all probabilities,Decision Theory; Game Theory; Poker Strategy,No,https://en.wikipedia.org/wiki/Expected_value
Expected Value (EV) Thinking,Decision Theory,Value,Strategic Framework,,,Poker Community; Poker Strategy,No,
Expected Value Thinking,Game Theory & Decision,Strategic Frameworks,Strategic Framework,,,Poker Community; Poker Strategy,No,
Externalities,Economics and Art,Economics,Economic Principle,,Costs or benefits affecting third parties not reflected in market price,Economics; Gabriel Weinberg & Lauren McCann; Great Mental Models Vol 4; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Externalities
Face Reality Directly,Philosophy,Approach,Principle,,,Principles; Ray Dalio,No,
Face Reality Head-On,Business & Life,Core Philosophy,Principle,,,Principles; Ray Dalio,No,
Failure as Creative Tool,Creativity,Failure,Creativity Model,,,Imagine; Imagine: How Creativity Works; Jonah Lehrer,No,
Fallible Memory Recognition,Systems & Complexity,Process Management,Process Framework,,,Atul Gawande; The Checklist Manifesto,No,
False Causality,Core Thinking,Foundational,Core Model,,,Sloww,No,
False Dichotomy,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/False_Dichotomy
Falsifiability,Core Thinking,Foundational,Core Model,,,Sloww,No,https://en.wikipedia.org/wiki/Falsifiability
Fat Tails,Distributions,Extreme Events,Risk Framework,,,Black Swan; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb,No,https://en.wikipedia.org/wiki/Fat_tails
Feedback Loop,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/Feedback_loop_(email)
Feedback Loops,Systems and Mathematics,Systems,System Framework,,Self-reinforcing cycles that amplify or dampen system behavior over time,Great Mental Models Vol 3; Ray Dalio (Principles); Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3; SuperThinking,No,https://en.wikipedia.org/wiki/Feedback_loops
First Principles,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish,No,https://en.wikipedia.org/wiki/First_principle
First Principles from Rockets,Thinking,Fundamentals,Problem-Solving Framework,,,Ozan Varol; Think Like a Rocket Scientist,No,
First Principles from Rocket Science,Thinking & Design,Problem Solving,Problem-Solving Framework,,,Ozan Varol; Think Like a Rocket Scientist,No,
First Principles Thinking,General Thinking Concepts,Fundamental Frameworks,Framework,,Break down complex problems into fundamental truths and rebuild from there,Adam Grant (Think Again); Clear Thinking; Great Mental Models Vol 1; Ozan Varol; Ozan Varol (Think Like a Rocket Scientist); Ray Dalio; Ray Dalio (Principles); Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; Shane Parrish: Clear Thinking; SuperThinking,No,https://en.wikipedia.org/wiki/First-principles_thinking
Flow,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Flow
Flynn Effect,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Flynn_effect
Flywheel,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Flywheel
Focusing Illusion,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Focusing_illusion
Fogg Behavior Model (B=MAP),Behavior Change,Model,Behavioral Model,,Behavior = Motivation + Ability + Prompt; all three needed simultaneously,BJ Fogg; BJ Fogg (Tiny Habits); Tiny Habits,No,
FOMO,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/FOMO
Fooled by Randomness,Risk & Uncertainty,Probability & Risk,Risk Framework,,,Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb,No,https://en.wikipedia.org/wiki/Fooled_by_Randomness
Forgetting Curve,Comprehensive,General,Mental Model,,,80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Forgetting_curve
Foundation Building,Mastery,Foundation,Learning Model,,,Josh Waitzkin; The Art of Learning,No,https://en.wikipedia.org/wiki/Foundation_Building_(Cooper_Union)
Fragility/Robustness/Antifragility Spectrum,Risk & Uncertainty,Probability & Risk,Risk Framework,,,Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb,No,
Framing,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Framing
Free Rider Problem,Key Concepts,Foundational Thinking,Economic Problem,,Incentive to benefit from collective good without contributing,Economics; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Free-rider_problem
Friction and Viscosity,"Physics, Chemistry, Biology",Physics,Physics Principle,,Forces that oppose movement,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,
Fundamental Attribution Error,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Fundamental_attribution_error
Gallup Q12,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
Gambler's Fallacy,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,99 Mental Models; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Gambler%27s_fallacy
Gell-Mann Amnesia,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Gell-Mann_Amnesia
Generalist vs Specialist,Career & Knowledge,Career Path,Career Model,,Generalists with diverse knowledge often outperform specialists,Adam Grant; Adam Grant (Originals); David Epstein (Range); Originals,No,https://en.wikipedia.org/wiki/Generalist_and_specialist_species
Genre,Economics and Art,Art,Art Concept,,Categories for creative work,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Genre
Global and Local Maxima,Systems and Mathematics,Mathematics,Optimization Concept,,Best overall vs nearby,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,
"Golden Circle Model (Why, How, What)",Leadership & Motivation,Organization Design,Leadership Framework,,,Simon Sinek; Start with Why,No,
Golden Circle (Why/How/What),Leadership & Motivation,Framework,Leadership Framework,,"Start with WHY (purpose), then HOW (process), then WHAT (output)",Simon Sinek; Simon Sinek (Start with Why); Start with Why,No,
Golden Mean,Comprehensive,General,Mental Model,,,80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Golden_Mean
Golden Rule,Comprehensive,General,Mental Model,,,80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Golden_Rule
Golem Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Golem_effect
Goodhart's Law,"Laws, Principles & Razors",Laws,Management Principle,,"When metric becomes target, it ceases to be good metric",Economics; Gabriel Weinberg & Lauren McCann; Management; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Goodhart%27s_law
Gresham's Law,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Gresham%27s_law
Grit (Passion + Perseverance),Success & Achievement,Persistence,Success Model,,Sustained passion combined with long-term persistence predicts achievement,Angela Duckworth; Angela Duckworth (Grit); Grit,No,
Groupthink,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,99 Mental Models; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Groupthink
Growth Mindset,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Growth_mindset
Habit Stacking,Habit Formation,Behavior Design,Habit Model,,,Atomic Habits; James Clear,No,
Halo Effect,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Halo_effect
Hanlon's Razor,General Thinking Concepts,Fundamental Frameworks,Principle,,Never attribute to malice that which can be adequately explained by incompetence,Great Mental Models Vol 1; Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; SuperThinking,No,https://en.wikipedia.org/wiki/Hanlon%27s_razor
Hawthorne Effect,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Hawthorne_effect
Hedonic Adaptation,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Hedonic_adaptation
Hedonic Treadmill,Psychology & Happiness,General,Psychological Principle,,Humans adapt to changes and return to baseline happiness level,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Psychology,No,https://en.wikipedia.org/wiki/Hedonic_treadmill
Heuristic,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Heuristic
Hick's Law,"Laws, Principles & Razors",Laws,Law,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Hick%27s_law
Hierarchical Organization,"Physics, Chemistry, Biology",Biology,Organization Principle,,Ranked systems create structure,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,https://en.wikipedia.org/wiki/Hierarchical_organization
Hierarchies & Inequality,Power Structures,Social Stratification,Social Framework,,,Sapiens; Yuval Noah Harari,No,
High Conflict Mode,Conflict,Escalation,Conflict Framework,,,Amanda Ripley; High Conflict,No,
Hindsight Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Hindsight_bias
Hofstadter's Law,"Laws, Principles & Razors",Laws,Management Principle,,"Everything takes longer than expected, even accounting for Hofstadter's Law",Gabriel Weinberg & Lauren McCann; Project Management; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Hofstadter%27s_law
Homeostasis,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Homeostasis
Horizontal Connections for Creativity,Creativity,Environment,Creativity Model,,,Imagine: How Creativity Works; Jonah Lehrer,No,
Horizontal Connections Spark Creativity,Environment,Networks,Creativity Model,,,Imagine; Jonah Lehrer,No,
Horns Effect,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Horn_effect
Humility in Expertise,Systems & Complexity,Process Management,Process Framework,,,Atul Gawande; The Checklist Manifesto,No,
Hydra Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Hydra_effect
Hyperbolic Discounting,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Hyperbolic_discounting
Hysteresis,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Hysteresis
Iceberg Principle,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
IDEALS Framework,Additional Frameworks,Thinking Tools,Framework,,,Cross-Source Frameworks; Multiple,No,https://en.wikipedia.org/wiki/IDEAL_framework
Identity-Based Habits,Behavior Change,Self-Concept,Behavioral Framework,,Build habits based on identity shift rather than outcome goals,Atomic Habits; BJ Fogg (Tiny Habits); James Clear; James Clear (Atomic Habits),No,
IKEA Effect,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/IKEA_effect
Illusion of Control,Agency,Causality Attribution,Cognitive Bias,,,"Daniel Kahneman; Morgan Housel; The Psychology of Money; Thinking, Fast and Slow",No,https://en.wikipedia.org/wiki/Illusion_of_control
Imagined Orders,Social Reality,Shared Beliefs,Sociological Framework,,"Social structures exist because of shared belief, not objective reality",Sapiens; Yuval Noah Harari; Yuval Noah Harari (Sapiens),No,
Improving Returns,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business,No,
Incentives,"Physics, Chemistry, Biology",Biology,Psychological Principle,,Rewards punishments shape behavior,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,https://en.wikipedia.org/wiki/Incentive
Incremental Improvement,Habit Formation,Behavior Design,Habit Model,,,Atomic Habits; James Clear,No,https://en.wikipedia.org/wiki/Incremental_improvements
Inertia,"Physics, Chemistry, Biology",Physics,Physics Principle,,Objects in motion stay in motion,Gabriel Weinberg & Lauren McCann; Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Inertia
Inertia Default,Decision Making,Defaults,Decision Trap,,,Clear Thinking; Shane Parrish,No,
Inertia (Physical & Psychological),Physics & Behavior,,Physics Principle,,Objects in motion stay in motion; resistance to change affects systems,Shane Parrish (TGMM Vol 2); SuperThinking,No,
Information Economics,Information,Incomplete Info,Strategic Framework,,,Poker Community; Poker Strategy,No,https://en.wikipedia.org/wiki/Information_economics
In-Group Favoritism & Out-Group Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,
Integration vs Fragmentation,Learning & Growth,Learning Framework,Learning Model,,,Josh Waitzkin; The Art of Learning,No,
Interpretation,Economics and Art,Art,Art Concept,,How meaning derived,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Interpretation
Intrinsic Motivation,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Intrinsic_motivation_(artificial_intelligence)
Inverse Thinking,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,
Inversion,General Thinking Concepts,Fundamental Frameworks,Framework,,Think backwards from outcome,Charlie Munger; Great Mental Models Vol 1; Shane Parrish; Shane Parrish Vol 1; SuperThinking,No,https://en.wikipedia.org/wiki/Inversion
Inversion (Thinking Backwards),Problem-Solving,,Reasoning Framework,,"Instead of solving forward, think about how to achieve the opposite outcome",Charlie Munger; Shane Parrish (TGMM Vol 1); SuperThinking (Weinberg & McCann),No,
"Invert, Always Invert",Investment & Business,Core Frameworks,Philosophy,,,Charlie Munger; Charlie Munger (Poor Charlie's Almanack); Poor Charlie's Almanack,No,
IQ vs. EQ,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/No._4_Squadron_RAF
Irreducibility,Systems and Mathematics,Mathematics,Mathematical Principle,,Cannot be simplified beyond point,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Irreducibility
Joy's Law,"Laws, Principles & Razors",Laws,Law,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Joy%27s_Law
Just World Hypothesis,Key Concepts,Foundational Thinking,Framework,,,99 Mental Models; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Just_World_Hypothesis
KISS Principle,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/KISS_principle
Knowledge Doubling Curve,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
Lateral Thinking,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Lateral_thinking
Latticework of Mental Models,Investment & Business,Core Frameworks,Philosophy,,,Charlie Munger; Charlie Munger (Poor Charlie's Almanack); Poor Charlie's Almanack,No,
Law of Averages,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Law_of_averages
Law of Diminishing Returns,"Laws, Principles & Razors",Laws,Economic Principle,,Additional inputs yield progressively smaller outputs after a certain point,Economics; Economics texts; Gabriel Weinberg & Lauren McCann; Great Mental Models Vol 3; Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Law_of_Diminishing_Returns
Law of Diminishing Utility,"Laws, Principles & Razors",Laws,Law,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,
Law of Large Numbers,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Law_of_large_numbers
Law of Least Effort,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
Law of Small Numbers,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Law_of_small_numbers
Law of the Few (Connectors),Social Dynamics,Key Influencers,Social Model,,,Malcolm Gladwell; The Tipping Point,No,
Law of the Few (Connectors/Mavens/Salespeople),Social Influence,,Social Framework,,"Specific people (connectors, mavens, salespeople) drive disproportionate influence",Malcolm Gladwell (The Tipping Point),No,
Law of Unintended Consequences,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Law_of_Unintended_Consequences
Laws of Motion,Core Thinking,Foundational,Core Model,,,Sloww,No,https://en.wikipedia.org/wiki/Laws_of_Motion
Laws of Thermodynamics,Core Thinking,Foundational,Core Model,,,Sloww,No,https://en.wikipedia.org/wiki/Laws_of_thermodynamics
Leading with Purpose,Purpose,Direction,Leadership Principle,,,Simon Sinek; Start with Why,No,
Leading with Vulnerability,Leadership,Authenticity,Leadership Principle,,,Brené Brown; Dare to Lead,No,
Learned Helplessness,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Learned_helplessness
Learning from the Errors of Others,Investment & Business,Core Frameworks,Philosophy,,,Charlie Munger; Charlie Munger (Poor Charlie's Almanack); Poor Charlie's Almanack,No,
Leverage,"Physics, Chemistry, Biology",Physics,Physics Principle,,Small effort creates large results,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,https://en.wikipedia.org/wiki/Leverage
Leverage (Mechanical & Organizational),Physics & Strategy,,Physics Principle,,Small effort applied at right point produces disproportionate results,Archimedes Principle; Shane Parrish (TGMM Vol 2),No,
Liking,"Biases, Fallacies & Effects",Influence Principles,Influence Principle,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Liking
Lindy Effect,"Biases, Fallacies & Effects",Behavioral & Social,Longevity Principle,,"The longer something has survived, the longer it is expected to survive",99 Mental Models; Black Swan; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Gabriel Weinberg & Lauren McCann; Nassim Taleb; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Lindy_effect
Loss Aversion,"Biases, Fallacies & Effects",Behavioral & Social,Behavioral Principle,,Fear of losing something is psychologically roughly twice as powerful as gain,"Daniel Kahneman; Daniel Kahneman (Thinking, Fast and Slow); Gabriel Weinberg & Lauren McCann; Prospect Theory; SuperThinking; SuperThinking (Weinberg/McCann); Thinking, Fast and Slow",No,https://en.wikipedia.org/wiki/Loss_aversion
Luck vs Skill,Finance & Behavior,Success,Success Model,,,Morgan Housel; Psychology of Money; The Psychology of Money,No,
Luck vs Skill in Success,Success,Attribution,Success Model,,,Morgan Housel; Psychology of Money,No,
Margin of Safety,Systems and Mathematics,Systems,Risk Principle,,Buffer between capacity demand,99 Mental Models; Charlie Munger; Great Mental Models Vol 3; Poor Charlie's Almanack; Shane Parrish; Shane Parrish Vol 3; Value Investing,No,https://en.wikipedia.org/wiki/Margin_of_safety_(financial)
Market Expectations Infrastructure,Investment,Investing Frameworks,Investment Model,,,Expectations Investing / Skill & Luck; Michael Mauboussin,No,
Maslow's Hammer,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann); hptbydts.com,No,https://en.wikipedia.org/wiki/Maslow%27s_hammer
Mavens,Social Dynamics,Information Brokers,Social Model,,,Malcolm Gladwell; The Tipping Point,No,https://en.wikipedia.org/wiki/Maven_(Scrabble)
Mavens (Information Brokers),Social Dynamics,Connectors,Social Model,,,Malcolm Gladwell; The Tipping Point,No,
MECE Thinking,Additional Frameworks,Business Analysis,Frameworks,,,Cross-Source,No,https://en.wikipedia.org/wiki/Meta_thinking
"MECE Thinking (Mutually Exclusive, Collectively Exhaustive)",Additional Frameworks,Thinking Tools,Framework,,,Cross-Source Frameworks; Multiple,No,
Medium,Economics and Art,Art,Art Concept,,Material or format,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Medium
Meme,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Meme
Memorializing Decision Process,Decision Making,Probabilistic Decisions,Decision Framework,,,Annie Duke; Thinking in Bets,No,
Mental Models Framework,Decision Making & Psychology,Key Principles,Framework,,Use diverse frameworks,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,
Metcalfe's Law,"Laws, Principles & Razors",Laws,Network Principle,,Value of network grows with square of number of users,Gabriel Weinberg & Lauren McCann; Network Science; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Metcalfe%27s_law
Minimum Effective Dose,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Minimum_effective_dose
Minimum Viable Product,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Minimum_viable_product
Momentum,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Momentum
Monopoly and Competition,Economics and Art,Economics,Economic Principle,,Market dynamics shift,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Monopoly_and_Competition
Moral Hazard,Economics and Art,Economics,Economic Principle,,Party insulated from consequences takes more risk,Economics; Great Mental Models Vol 4; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Moral_hazard
Motivation,Behavior Change,Habit Formation,Behavioral Framework,,,BJ Fogg; Tiny Habits,No,https://en.wikipedia.org/wiki/Motivation
Motivation (in B=MAP),Behavior Change,Motivation,Behavioral Component,,,BJ Fogg; Tiny Habits,No,
Mr. Market,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business,No,https://en.wikipedia.org/wiki/Mr._Market
Multidisciplinary Approach,Investment & Business,Core Frameworks,Philosophy,,,Charlie Munger; Charlie Munger (Poor Charlie's Almanack); Poor Charlie's Almanack,No,https://en.wikipedia.org/wiki/Multidisciplinary_approach
